Object Name,Catalog No.,Reference Star Object Name,Reference Star Catalog No.,hh,mm,ss,deg,','',Reference Epoch,Reference Star Magnitude (V)
HIP_117154,HIP 117154,2MASS_J23443758+6303578,2MASS J23443758+6303578,23,44,37.5942,63,03,57.736,J2000,10.38
HIP_118174,HIP 118174,2MASS_J23573267+6111041,2MASS J23573267+6111041,23,57,32.6815,61,11,04.238,J2000,10.84
2MASS_J23392727+6222198,2MASS J23392727+6222198,HD_222351,HD 222351,23,39,30.6515,62,26,14.767,J2000,9.04
HIP_118122,HIP 118122,2MASS_J23580579+6241108,2MASS J23580579+6241108,23,58,05.7943,62,41,10.896,J2000,12.7
--,--,--,--,--,--,--,--,--,--,--,--
HIP_116684,HIP 116684,2MASS_J23383984+5927158,2MASS J23383984+5927158,23,38,39.8460,59,27,15.814,J2000,10.99
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
